Temp Airfoil
1.000000 0.000000
0.973743 0.004502
0.951157 0.012459
0.928265 0.020310
0.904825 0.027519
0.880705 0.034110
0.855597 0.040169
0.829262 0.045751
0.801723 0.050889
0.773292 0.055632
0.744471 0.060055
0.715804 0.064253
0.687762 0.068326
0.660674 0.072361
0.634715 0.076424
0.609922 0.080546
0.586229 0.084732
0.563503 0.088959
0.541578 0.093184
0.520280 0.097349
0.499442 0.101387
0.478917 0.105226
0.458584 0.108797
0.438349 0.112031
0.418146 0.114870
0.397933 0.117261
0.377693 0.119161
0.357426 0.120538
0.337148 0.121372
0.316887 0.121651
0.296678 0.121374
0.276557 0.120545
0.256560 0.119175
0.236715 0.117274
0.217041 0.114847
0.197539 0.111890
0.178195 0.108377
0.158981 0.104252
0.139864 0.099421
0.120835 0.093743
0.101953 0.087041
0.083406 0.079123
0.065583 0.069843
0.049116 0.059192
0.034822 0.047395
0.023535 0.034961
0.015821 0.022633
0.011741 0.011242
0.010734 0.001590
0.011506 -0.005020
0.013409 -0.011043
0.017706 -0.018548
0.024579 -0.025881
0.033865 -0.032402
0.045142 -0.037837
0.057896 -0.042158
0.071665 -0.045492
0.086109 -0.048036
0.101022 -0.049991
0.116307 -0.051531
0.131947 -0.052785
0.147965 -0.053840
0.164409 -0.054751
0.181332 -0.055542
0.198783 -0.056223
0.216805 -0.056787
0.235434 -0.057223
0.254692 -0.057512
0.274595 -0.057634
0.295145 -0.057567
0.316334 -0.057288
0.338141 -0.056776
0.360529 -0.056007
0.383440 -0.054958
0.406800 -0.053607
0.430503 -0.051928
0.454416 -0.049899
0.478371 -0.047494
0.502158 -0.044690
0.525529 -0.041467
0.548196 -0.037813
0.569844 -0.033724
0.590144 -0.029219
0.608802 -0.024343
0.625607 -0.019185
0.640531 -0.013887
0.653835 -0.008659
0.666216 -0.003788
0.678923 0.000370
0.693828 0.003415
0.713351 0.004953
0.740161 0.004678
0.776561 0.002474
0.823545 -0.001476
0.879586 -0.006608
0.939440 -0.011922
0.993548 -0.016000
1.029014 -0.017050
1.033180 -0.012834
1.000000 0.000000
