Temp Airfoil
1.000000 0.000000
0.976426 0.006591
0.950203 0.012696
0.924612 0.018270
0.900504 0.023320
0.877201 0.027900
0.853568 0.032102
0.828975 0.036044
0.803525 0.039832
0.777664 0.043542
0.751792 0.047216
0.726130 0.050866
0.700761 0.054490
0.675690 0.058071
0.650895 0.061587
0.626351 0.065012
0.602039 0.068317
0.577946 0.071475
0.554071 0.074458
0.530413 0.077240
0.506977 0.079798
0.483772 0.082110
0.460804 0.084157
0.438084 0.085925
0.415620 0.087402
0.393421 0.088577
0.371499 0.089445
0.349863 0.090002
0.328524 0.090247
0.307495 0.090179
0.286785 0.089801
0.266406 0.089114
0.246366 0.088119
0.226672 0.086813
0.207325 0.085188
0.188321 0.083227
0.169649 0.080903
0.151294 0.078171
0.133239 0.074970
0.115477 0.071214
0.098035 0.066802
0.081004 0.061619
0.064585 0.055567
0.049136 0.048598
0.035193 0.040774
0.023420 0.032317
0.014466 0.023640
0.008733 0.015312
0.006135 0.008005
0.005841 0.002878
0.006897 -0.001863
0.010495 -0.007811
0.017375 -0.013553
0.027652 -0.018408
0.040898 -0.022015
0.056349 -0.024304
0.073175 -0.025439
0.090691 -0.025706
0.108449 -0.025408
0.126221 -0.024801
0.143941 -0.024071
0.161637 -0.023332
0.179378 -0.022644
0.197244 -0.022031
0.215306 -0.021487
0.233622 -0.020998
0.252235 -0.020538
0.271175 -0.020084
0.290461 -0.019611
0.310103 -0.019096
0.330106 -0.018523
0.350468 -0.017878
0.371183 -0.017150
0.392240 -0.016334
0.413623 -0.015429
0.435311 -0.014436
0.457275 -0.013363
0.479476 -0.012218
0.501866 -0.011012
0.524386 -0.009763
0.546966 -0.008485
0.569526 -0.007200
0.591982 -0.005928
0.614258 -0.004688
0.636300 -0.003502
0.658101 -0.002389
0.679737 -0.001368
0.701394 -0.000457
0.723382 0.000323
0.746107 0.000946
0.769966 0.001383
0.795164 0.001611
0.821556 0.001625
0.848619 0.001466
0.875692 0.001220
0.902363 0.001001
0.928697 0.000885
0.954925 0.000839
0.980211 0.000656
1.000000 0.000000
