Temp Airfoil
1.000000 0.000000
0.970284 0.011463
0.941503 0.019966
0.913981 0.025592
0.887610 0.029133
0.861984 0.031845
0.836728 0.035052
0.811739 0.039608
0.787139 0.045590
0.763064 0.052514
0.739528 0.059769
0.716433 0.066896
0.693635 0.073640
0.671001 0.079891
0.648430 0.085620
0.625856 0.090833
0.603244 0.095547
0.580583 0.099780
0.557879 0.103544
0.535148 0.106849
0.512414 0.109699
0.489708 0.112096
0.467061 0.114039
0.444508 0.115526
0.422082 0.116556
0.399819 0.117129
0.377753 0.117243
0.355919 0.116901
0.334352 0.116106
0.313085 0.114862
0.292150 0.113176
0.271577 0.111056
0.251392 0.108511
0.231619 0.105548
0.212271 0.102174
0.193354 0.098391
0.174860 0.094198
0.156767 0.089580
0.139036 0.084515
0.121619 0.078966
0.104470 0.072883
0.087574 0.066210
0.070993 0.058901
0.054928 0.050951
0.039779 0.042439
0.026160 0.033576
0.014807 0.024728
0.006367 0.016395
0.001119 0.009174
-0.001164 0.004139
-0.002034 -0.000504
-0.000966 -0.006338
0.003345 -0.012031
0.011312 -0.017008
0.022682 -0.021012
0.036754 -0.024055
0.052685 -0.026330
0.069743 -0.028094
0.087419 -0.029582
0.105431 -0.030966
0.123661 -0.032348
0.142089 -0.033773
0.160740 -0.035248
0.179654 -0.036756
0.198868 -0.038268
0.218407 -0.039753
0.238286 -0.041181
0.258507 -0.042522
0.279064 -0.043755
0.299943 -0.044863
0.321125 -0.045832
0.342586 -0.046656
0.364298 -0.047332
0.386234 -0.047858
0.408359 -0.048239
0.430640 -0.048477
0.453041 -0.048579
0.475522 -0.048546
0.498041 -0.048383
0.520554 -0.048086
0.543009 -0.047649
0.565354 -0.047056
0.587531 -0.046282
0.609478 -0.045287
0.631134 -0.044010
0.652446 -0.042369
0.673383 -0.040248
0.693966 -0.037497
0.714318 -0.033927
0.734740 -0.029329
0.755805 -0.023521
0.778421 -0.016459
0.803704 -0.008422
0.832493 -0.000198
0.864512 0.006941
0.897865 0.011663
0.929655 0.013164
0.957478 0.011386
0.980560 0.006771
1.000000 0.000000
