epoch,d_loss,g_loss_total,g_adv_raw,surrogate_cm_raw,surrogate_cl_raw,surrogate_raw,g_adv_weighted,surrogate_weighted,real_score,fake_score,grad_norm,w_adv,w_surrogate
0,-0.49764849948108414,1.0269033703973187,1.0269033703973187,0.0,0.0,0.0,1.0269033703973187,0.0,-0.396033318494766,-1.0166731417078243,1.0129603448085192,1.0,0.0
1,-0.23309977235346493,1.5945562973166958,1.5945562973166958,0.0,0.0,0.0,1.5945562973166958,0.0,-1.3485810370221465,-1.58959065090448,1.0115084822857854,1.0,0.0
2,-0.19561315513474847,1.5176946051193005,1.5176946051193005,0.0,0.0,0.0,1.5176946051193005,0.0,-1.2957658822355718,-1.4971675582741142,1.0098147488242883,1.0,0.0
3,-0.18277116290929085,1.4788176314139263,1.4788176314139263,0.0,0.0,0.0,1.4788176314139263,0.0,-1.2743245241444034,-1.4623966848807215,1.0091571083568063,1.0,0.0
4,-0.17527448293426837,1.3858924247485735,1.3858924247485735,0.0,0.0,0.0,1.3858924247485735,0.0,-1.1814347771961335,-1.3615255575317768,1.008692008622717,1.0,0.0
5,-0.17041962470065816,1.3127400090684107,1.3127400090684107,0.0,0.0,0.0,1.3127400090684107,0.0,-1.1145653916179918,-1.289397969056553,1.0084426083719686,1.0,0.0
6,-0.16568874928710262,1.2454233328243354,1.2454233328243354,0.0,0.0,0.0,1.2454233328243354,0.0,-1.0569066902360331,-1.2267528708661075,1.00819148789244,1.0,0.0
7,-0.16386473732950024,1.0357233617470893,1.0357233617470893,0.0,0.0,0.0,1.0357233617470893,0.0,-0.8494258354286854,-1.0174940309369607,1.0080215123155918,1.0,0.0
8,-0.16476993685594965,0.9496748812528916,0.9496748812528916,0.0,0.0,0.0,0.9496748812528916,0.0,-0.7637910863983072,-0.9328488472566708,1.0080019540735101,1.0,0.0
9,-0.16369258725363425,0.700715139056697,0.700715139056697,0.0,0.0,0.0,0.700715139056697,0.0,-0.5142786472497864,-0.6822937434761103,1.0079090232022834,1.0,0.0
10,-0.16120581129828085,0.593141934185317,0.593141934185317,0.0,0.0,0.0,0.593141934185317,0.0,-0.40815127434928494,-0.5736670794900144,1.0078809921491878,1.0,0.0
11,-0.15898963131736762,0.5038250608619673,0.5038250608619673,0.0,0.0,0.0,0.5038250608619673,0.0,-0.3198952670615933,-0.48300942260005414,1.0078010995035136,1.0,0.0
12,-0.15672090318766743,0.34125706098683467,0.34125706098683467,0.0,0.0,0.0,0.34125706098683467,0.0,-0.16420654028146411,-0.32504477510598595,1.0076913410575812,1.0,0.0
13,-0.15546740012693921,0.2715645767345186,0.2715645767345186,0.0,0.0,0.0,0.2715645767345186,0.0,-0.09398088892316614,-0.25354316536108507,1.0075975402597916,1.0,0.0
